# Date,UT time,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
2021-08-01,01:00:00,299.97,71.14,980.64,6.16,250.13,0,0,0,231.2188
2021-08-01,02:00:00,301.49,65.31,980.92,7.21,252.81,0,0,0,481.5309
2021-08-01,03:00:00,303.01,59.47,981.21,8.27,254.81,0,0,0,656.1597
2021-08-01,04:00:00,303.57,58.32,980.57,8.17,255.49,0,0,0,800.3655
2021-08-01,05:00:00,304.13,57.17,979.93,8.07,256.18,0,0,0,901.3824
2021-08-01,06:00:00,304.69,56.02,979.3,7.98,256.88,0,0,0,895.4532
2021-08-01,07:00:00,304.67,55.88,978.52,7.79,257.93,0,0,0,833.9289
2021-08-01,08:00:00,304.66,55.73,977.75,7.6,259.04,0,0,0,723.7269
2021-08-01,09:00:00,304.65,55.59,976.98,7.41,260.21,0.004978,0,0,570.1404
2021-08-01,10:00:00,303.18,59.81,977.54,6.33,255.53,0.009956,0,0,392.784
2021-08-01,11:00:00,301.71,64.02,978.11,5.3,248.99,0.014933,0,0,205.7006
2021-08-01,12:00:00,300.23,68.24,978.68,4.38,239.52,0.009956,0,0,24.1583
2021-08-01,13:00:00,300.06,68.35,979.34,4.51,233.65,0.004978,0,0,0
2021-08-01,14:00:00,299.89,68.46,980,4.69,228.18,0,0,0,0
2021-08-01,15:00:00,299.71,68.57,980.66,4.91,223.16,0,0,0,0
2021-08-01,16:00:00,299.6,69.16,980.45,5.24,231.88,0,0,0,0
2021-08-01,17:00:00,299.49,69.75,980.24,5.68,239.41,0,0,0,0
2021-08-01,18:00:00,299.38,70.33,980.03,6.2,245.77,0,0,0,0
2021-08-01,19:00:00,299.22,69.82,979.61,6.41,246.23,0,0,0,0
2021-08-01,20:00:00,299.07,69.31,979.19,6.63,246.65,0,0,0,0
2021-08-01,21:00:00,298.91,68.8,978.77,6.84,247.05,0,0,0,0
2021-08-01,22:00:00,298.74,70.3,979.21,6.45,247.69,0,0,0,0
