Datetime,P,I,T,I_NCEP,T_NCEP,H_NCEP,W_NCEP
2022-01-01 07:00:00+07:00,16,21.53686,31,0,17.01,95.5,0.79
2022-01-01 08:00:00+07:00,104,141.7517,31,64.3659,19.25,86.2,0.1
2022-01-01 09:00:00+07:00,332,420.5562,32,284.0474,21.49,76.91,0.59
2022-01-01 10:00:00+07:00,444,590.8931,34,459.5223,23.73,67.61,1.28
2022-01-01 11:00:00+07:00,480,636.8503,37,605.3085,24.97,61.83,1.44
2022-01-01 12:00:00+07:00,480,656.2513,38,708.3828,26.22,56.05,1.6
2022-01-01 13:00:00+07:00,608,860.1573,38,728.6991,27.46,50.26,1.78
2022-01-01 14:00:00+07:00,520,727.6968,40,691.0695,27.39,49.44,1.86
2022-01-01 15:00:00+07:00,324,408.0968,40,599.2338,27.32,48.61,1.94
2022-01-01 16:00:00+07:00,224,323.7293,41,423.8406,27.24,47.78,2.02
2022-01-01 17:00:00+07:00,96,154.567,40,239.4647,25.2,55.73,1.34
2022-01-02 07:00:00+07:00,16,22.21323,32,0,16.08,93.96,0.62
2022-01-02 08:00:00+07:00,156,226.5464,32,66.0057,18.6,82.72,0.16
2022-01-02 09:00:00+07:00,316,425.3619,33,290.3822,21.11,71.48,0.4
2022-01-02 10:00:00+07:00,456,617.0222,35,476.6013,23.62,60.25,0.89
2022-01-02 11:00:00+07:00,552,763.0812,36,636.4347,24.7,56.08,1.2
2022-01-02 12:00:00+07:00,596,829.7209,35,754.374,25.78,51.91,1.54
2022-01-02 13:00:00+07:00,608,849.8695,39,768.8076,26.86,47.74,1.9
2022-01-02 14:00:00+07:00,120,179.9841,40,722.1864,26.67,47.48,1.95
2022-01-02 15:00:00+07:00,400,561.0975,39,620.1414,26.49,47.22,2.02
2022-01-02 16:00:00+07:00,232,347.6512,40,436.9896,26.3,46.96,2.08
2022-01-02 17:00:00+07:00,68,124.4866,39,245.8528,24.7,54.51,1.53
2022-01-03 07:00:00+07:00,9.2,14.63083,29,0,15.44,89.07,0.85
2022-01-03 08:00:00+07:00,140.8,219.142,30,66.453,17.97,78.78,0.14
2022-01-03 09:00:00+07:00,320,418.0999,31,291.3695,20.5,68.5,0.6
2022-01-03 10:00:00+07:00,456,612.5724,33,478.1646,23.02,58.21,1.32
2022-01-03 11:00:00+07:00,540,747.3469,35,638.6679,24.29,53.45,1.38
2022-01-03 12:00:00+07:00,592,819.6111,37,757.2684,25.56,48.68,1.51
2022-01-03 13:00:00+07:00,576,805.621,39,782.0334,26.83,43.92,1.69
2022-01-03 14:00:00+07:00,512,716.697,39,744.6852,26.72,43.84,1.88
2022-01-03 15:00:00+07:00,400,563.0911,39,648.5058,26.62,43.77,2.08
2022-01-03 16:00:00+07:00,240,353.5605,41,474.5166,26.51,43.69,2.28
2022-01-03 17:00:00+07:00,68,129.15,40,279.1807,24.34,51.74,1.31
2022-01-04 07:00:00+07:00,10.8,17.65667,29,0,15.69,85.49,1.15
2022-01-04 08:00:00+07:00,135.2,194.1165,29,64.901,18.34,75.24,0.45
2022-01-04 09:00:00+07:00,312,409.2715,32,290.1764,20.99,64.99,0.37
2022-01-04 10:00:00+07:00,452,599.8639,33,477.6522,23.65,54.74,1.07
2022-01-04 11:00:00+07:00,540,739.3373,36,638.6313,25.04,50.26,1.46
2022-01-04 12:00:00+07:00,576,801.5629,37,757.5891,26.44,45.78,1.85
2022-01-04 13:00:00+07:00,576,803.5208,39,782.328,27.84,41.31,2.24
2022-01-04 14:00:00+07:00,508,710.2892,40,744.972,27.57,41.96,2.19
2022-01-04 15:00:00+07:00,392,552.198,40,648.9864,27.3,42.61,2.15
2022-01-04 16:00:00+07:00,228,341.4927,40,475.5294,27.03,43.26,2.13
2022-01-04 17:00:00+07:00,64,122.0303,40,281.0144,24.92,50.76,1.04
2022-01-05 07:00:00+07:00,10.4,17.87026,29,0,15.35,80.44,1.23
2022-01-05 08:00:00+07:00,137.2,191.6247,30,66.093,17.99,71.46,0.44
2022-01-05 09:00:00+07:00,324,421.3393,30,294.3435,20.64,62.48,0.41
2022-01-05 10:00:00+07:00,464,618.4105,33,484.068,23.28,53.49,1.19
2022-01-05 11:00:00+07:00,548,753.7902,35,646.9269,24.86,49.05,1.48
2022-01-05 12:00:00+07:00,584,815.8376,37,767.2287,26.44,44.6,1.78
2022-01-05 13:00:00+07:00,576,805.0515,39,792.8685,28.01,40.16,2.08
2022-01-05 14:00:00+07:00,512,722.2858,39,755.6298,27.87,40.04,2.09
2022-01-05 15:00:00+07:00,408,574.2332,40,658.8783,27.73,39.92,2.1
2022-01-05 16:00:00+07:00,244,363.4212,41,484.2489,27.58,39.8,2.12
2022-01-05 17:00:00+07:00,68,132.9234,39,287.2815,25.2,47.92,1
2022-01-06 07:00:00+07:00,10.8,19.43657,28,0,15.2,69.83,1.28
2022-01-06 08:00:00+07:00,142,204.084,29,64.8854,18,62.7,0.61
2022-01-06 09:00:00+07:00,328,431.3068,31,294.5788,20.81,55.57,0.18
2022-01-06 10:00:00+07:00,468,631.0479,33,485.5212,23.61,48.44,0.78
2022-01-06 11:00:00+07:00,552,764.2204,35,649.047,25.33,44.56,1.19
2022-01-06 12:00:00+07:00,592,828.9378,37,769.5966,27.04,40.68,1.6
2022-01-06 13:00:00+07:00,580,818.7923,39,795.1128,28.76,36.8,2.01
2022-01-06 14:00:00+07:00,516,730.3666,40,757.6182,28.63,36.44,1.93
2022-01-06 15:00:00+07:00,408,577.2947,40,660.7092,28.51,36.07,1.85
2022-01-06 16:00:00+07:00,248,367.7997,41,486.0789,28.38,35.71,1.77
2022-01-06 17:00:00+07:00,68,137.4799,40,289.5048,25.92,43.03,0.82
2022-01-07 07:00:00+07:00,10,14.55963,29,0,15.63,70.39,0.95
2022-01-07 08:00:00+07:00,128.4,182.298,29,63.0399,18.33,63.8,0.27
2022-01-07 09:00:00+07:00,304,397.1326,31,284.9095,21.03,57.21,0.51
2022-01-07 10:00:00+07:00,444,596.9805,33,472.6935,23.73,50.63,1.21
2022-01-07 11:00:00+07:00,528,724.7065,35,635.9895,25.12,47.62,1.6
2022-01-07 12:00:00+07:00,568,788.0355,37,758.6889,26.51,44.62,1.99
2022-01-07 13:00:00+07:00,556,783.479,38,785.1303,27.9,41.61,2.38
2022-01-07 14:00:00+07:00,496,694.8041,39,749.4135,27.97,41.24,2.23
2022-01-07 15:00:00+07:00,388,549.1722,41,654.7776,28.05,40.87,2.09
2022-01-07 16:00:00+07:00,236,349.0752,41,482.1543,28.12,40.5,1.95
2022-01-07 17:00:00+07:00,76,134.9881,40,287.6041,25.91,47.6,0.98
2022-01-08 07:00:00+07:00,12,13.59848,29,0,15.48,75,1.09
2022-01-08 08:00:00+07:00,128,152.7515,30,63.3932,18.19,66.97,0.33
2022-01-08 09:00:00+07:00,308,401.9383,31,291.9845,20.89,58.95,0.44
2022-01-08 10:00:00+07:00,440,594.097,33,482.9109,23.59,50.92,1.19
2022-01-08 11:00:00+07:00,532,728.124,36,646.7904,25.02,47.24,1.55
2022-01-08 12:00:00+07:00,572,796.5435,37,768.0555,26.45,43.55,1.92
2022-01-08 13:00:00+07:00,564,799.4269,39,795.3528,27.88,39.87,2.28
2022-01-08 14:00:00+07:00,508,709.6841,40,759.7338,27.89,39.53,2.2
2022-01-08 15:00:00+07:00,404,572.8093,41,664.5282,27.89,39.2,2.11
2022-01-08 16:00:00+07:00,244,369.6864,42,489.5754,27.89,38.87,2.03
2022-01-08 17:00:00+07:00,72,141.9297,40,293.0016,25.63,45.84,1
2022-01-09 07:00:00+07:00,8,15.69877,30,0,15.2,67.47,1.28
2022-01-09 08:00:00+07:00,136,203.0161,30,64.3453,18.12,59.56,0.55
2022-01-09 09:00:00+07:00,320,421.0545,31,294.8633,21.04,51.66,0.21
2022-01-09 10:00:00+07:00,460,616.773,33,487.2036,23.96,43.76,0.93
2022-01-09 11:00:00+07:00,552,758.9875,35,652.3044,25.53,40.35,1.33
2022-01-09 12:00:00+07:00,592,828.2258,37,774.4854,27.11,36.95,1.73
2022-01-09 13:00:00+07:00,584,821.4622,37,802.4508,28.68,33.54,2.13
2022-01-09 14:00:00+07:00,520,734.9944,40,767.0094,28.6,33.62,2.14
2022-01-09 15:00:00+07:00,416,589.8964,41,671.4057,28.53,33.7,2.15
2022-01-09 16:00:00+07:00,252,375.9873,42,496.0527,28.46,33.78,2.17
2022-01-09 17:00:00+07:00,76,146.0591,41,297.9943,26,40.8,1.1
2022-01-10 07:00:00+07:00,9.2,15.62758,29,0,15.19,63.36,1.26
