,Datetime,P,I,T,T_NCEP,H_NCEP,W_NCEP,I_NCEP
0,1/1/2022 7:00,336,44.034455,30,17.06,85.82,2.27,6.6107
1,1/1/2022 8:00,1016,277.2527725,31.25,18.87,79.12,3.23,136.9412
2,1/1/2022 9:00,1612,584.93555,32.5,20.67,72.41,4.2,357.6159
3,1/1/2022 10:00,1756,678.701975,33.5,22.48,65.71,5.17,539.8389
4,1/1/2022 11:00,2136,817.247425,34.75,24.01,60.31,5.24,691.404
5,1/1/2022 12:00,2164,824.685,36.25,25.53,54.91,5.33,797.538
6,1/1/2022 13:00,1984,750.107225,36.5,27.06,49.51,5.44,807.2961
7,1/1/2022 14:00,1516,592.915325,36.75,27.38,48.32,5.58,755.244
8,1/1/2022 15:00,988,359.939775,37.25,27.7,47.12,5.74,645.8688
9,1/1/2022 16:00,504,205.370025,37.25,28.02,45.93,5.91,458.9787
10,1/1/2022 17:00,72,35.05922825,37,26.56,50.38,4.96,257.2599
11,2/1/2022 7:00,324,48.6394175,30.75,17.63,84.67,2.65,6.4571
12,2/1/2022 8:00,956,266.9907375,31.5,19.47,77.1,3.84,133.3893
13,2/1/2022 9:00,1564,561.54655,32.5,21.31,69.54,5.03,357.5376
14,2/1/2022 10:00,1960,736.527025,34.25,23.14,61.97,6.22,539.073
15,2/1/2022 11:00,1980,734.9003,35.75,24.61,57.28,6.09,688.8291
16,2/1/2022 12:00,2092,794.19835,36,26.08,52.6,5.97,792.6051
17,2/1/2022 13:00,1752,644.54105,37,27.55,47.92,5.87,804.1722
18,2/1/2022 14:00,1288,484.5085,37,27.79,46.84,5.8,754.158
19,2/1/2022 15:00,864,325.617025,37.25,28.03,45.75,5.72,646.7742
20,2/1/2022 16:00,424,171.152475,37,28.27,44.67,5.65,459.7194
21,2/1/2022 17:00,60,30.35714775,37,26.8,49.09,4.73,258.5444
22,3/1/2022 7:00,372.8,63.8625025,30.25,17.04,87.78,2.09,6.0574
23,3/1/2022 8:00,1004,276.233075,31.25,19.03,79.83,2.96,135.065
24,3/1/2022 9:00,1644,594.48535,32.25,21.01,71.87,3.84,356.8569
25,3/1/2022 10:00,1652,639.013525,34.25,23,63.92,4.72,535.9785
26,3/1/2022 11:00,1496,524.69875,35.25,24.44,59.42,4.59,682.5588
27,3/1/2022 12:00,1928,716.5614,35.75,25.89,54.91,4.48,782.979
28,3/1/2022 13:00,1952,740.71925,36.75,27.33,50.41,4.38,772.2162
29,3/1/2022 14:00,1700,633.7368,37,27.61,49.19,4.26,703.1493
30,3/1/2022 15:00,1132,413.362225,38,27.89,47.97,4.15,584.7885
