Datetime,P,T,I,I_NCEP,T_NCEP,H_NCEP,W_NCEP
1/1/2022 7:00,4,21.86667,23,4.0211,22.41,62.68,1.94
1/1/2022 8:00,52,28.75,203,124.6998,23.72,59.05,1.77
1/1/2022 9:00,108,37.21,383,349.4289,25.03,55.42,1.68
1/1/2022 10:00,156,44.67333,547,536.1126,26.35,51.79,1.69
1/1/2022 11:00,192,46.28667,662,693.4521,27.67,48.3,2.18
1/1/2022 12:00,204,51.06333,699,806.322,28.99,44.82,2.67
1/1/2022 13:00,196,52.13667,663,823.074,30.31,41.33,3.17
1/1/2022 14:00,164,46.31,531,777.3813,30.59,40.3,2.98
1/1/2022 15:00,80,42.63667,321,673.1937,30.87,39.27,2.79
1/1/2022 16:00,56,39.09667,205,490.2606,31.15,38.24,2.6
1/1/2022 17:00,12,30.93333,47,288.7564,30.27,40.88,2.29
2/1/2022 7:00,4,22.22667,23,3.987,22.3,66.1,2.88
2/1/2022 8:00,48,29.21667,200,122.0942,23.64,61.6,2.4
2/1/2022 9:00,108,37.56333,391,350.0256,24.98,57.1,2.16
2/1/2022 10:00,156,45.18667,546,537.2454,26.32,52.6,2.23
2/1/2022 11:00,188,46.52667,654,694.2561,27.58,49.5,2.49
2/1/2022 12:00,200,50.52,671,806.2461,28.84,46.4,2.84
2/1/2022 13:00,184,51.36666,667,822.4113,30.1,43.3,3.26
2/1/2022 14:00,172,49.85333,602,776.2335,30.29,42.79,2.91
2/1/2022 15:00,104,43.49667,368,671.9523,30.48,42.27,2.82
2/1/2022 16:00,56,35.57667,208,488.1102,30.67,41.76,3.02
2/1/2022 17:00,20,31.96667,75,287.3765,29.93,43.72,2.54
3/1/2022 7:00,8.8,22.89333,33,3.6099,22.66,67.41,1.94
3/1/2022 8:00,40.4,27.84667,162,120.6054,24.17,62.39,1.8
3/1/2022 9:00,96,36.40667,356,337.9539,25.67,57.37,1.65
3/1/2022 10:00,140,42.9,495,523.9347,27.18,52.35,1.51
3/1/2022 11:00,192,48.75667,655,683.3826,28.44,48.83,1.86
3/1/2022 12:00,200,51.71333,707,800.4633,29.71,45.31,2.2
3/1/2022 13:00,200,52.24333,698,789.7056,30.97,41.79,2.55
3/1/2022 14:00,168,50.88334,585,719.6592,31.17,40.95,2.5
3/1/2022 15:00,48,39.17667,179,600.3729,31.37,40.11,2.46
3/1/2022 16:00,68,41.14333,277,427.8033,31.56,39.26,2.42
3/1/2022 17:00,24,34.26667,102,246.3044,30.74,41.46,2.25
4/1/2022 7:00,6.8,24.68333,25,3.527,23.83,63.75,1.85
4/1/2022 8:00,53.2,29.56667,214,118.3582,25.37,58.89,1.6
4/1/2022 9:00,72,36.43333,276,343.4001,26.92,54.03,1.55
4/1/2022 10:00,116,38.47333,414,529.2687,28.46,49.17,1.7
4/1/2022 11:00,160,41.77667,554,685.7772,29.6,45.98,1.75
4/1/2022 12:00,200,51.15333,692,798.123,30.74,42.8,1.79
4/1/2022 13:00,212,57.20333,770,815.2269,31.88,39.61,1.84
4/1/2022 14:00,176,45.14,616,770.5812,32.08,38.6,1.95
4/1/2022 15:00,56,42.72333,221,668.2998,32.27,37.58,2.1
4/1/2022 16:00,68,36.57,266,469.2369,32.46,36.57,2.29
4/1/2022 17:00,16,33.5,75,265.9382,31.44,38.83,2.47
5/1/2022 7:00,5.6,23.59,23,2.8853,23.7,60.94,2.35
5/1/2022 8:00,46.8,30.00667,192,106.6337,25.16,56.56,2.23
5/1/2022 9:00,108,36.90667,394,303.1965,26.61,52.18,2.19
5/1/2022 10:00,152,43.52667,539,479.0094,28.06,47.81,2.24
5/1/2022 11:00,180,46.81333,665,634.7211,29.29,44.64,2.17
5/1/2022 12:00,188,52.77,665,753.8607,30.52,41.46,2.13
5/1/2022 13:00,140,50.47,530,774.9951,31.74,38.29,2.13
5/1/2022 14:00,164,53.20667,590,737.3739,32.08,37.07,1.85
5/1/2022 15:00,124,48.94333,435,643.7919,32.42,35.86,1.58
5/1/2022 16:00,36,42.01667,154,477.3789,32.76,34.64,1.3
5/1/2022 17:00,16,32.83333,81,288.5536,31.74,37.15,0.58
6/1/2022 7:00,5.6,22.78667,22,3.2463,24.03,57.49,0.93
6/1/2022 8:00,45.2,30.83333,186,119.2486,25.7,52.7,0.53
6/1/2022 9:00,104,39.52333,378,349.5693,27.37,47.91,0.3
6/1/2022 10:00,156,46.36666,548,540.0699,29.04,43.12,0.53
6/1/2022 11:00,184,51.71667,647,700.5381,30.17,40.12,1.04
6/1/2022 12:00,192,53.36666,684,815.8908,31.31,37.12,1.67
6/1/2022 13:00,188,53.99667,668,835.5822,32.44,34.12,2.33
6/1/2022 14:00,168,53.17,587,792.0264,32.8,32.77,2.28
6/1/2022 15:00,132,48.56,460,689.106,33.15,31.42,2.24
6/1/2022 16:00,68,45.22,272,505.6698,33.5,30.07,2.19
6/1/2022 17:00,16,37.30333,87,302.8455,32.4,32.68,1.51
7/1/2022 7:00,6,23.34,22,3.0272,24,54.27,0.56
7/1/2022 8:00,46,30.54333,190,123.0814,25.73,49.67,0.9
7/1/2022 9:00,104,40.22333,375,353.4927,27.45,45.07,1.25
7/1/2022 10:00,152,48.00333,544,545.3436,29.18,40.47,1.61
7/1/2022 11:00,188,51.28667,650,706.6089,30.28,38.3,1.95
7/1/2022 12:00,196,53.76333,700,822.2103,31.37,36.13,2.29
7/1/2022 13:00,172,54.8,634,842.3802,32.47,33.96,2.64
7/1/2022 14:00,176,53.71,638,798.8265,32.7,33.25,2.33
7/1/2022 15:00,36,42.52,140,695.3841,32.94,32.53,2.1
7/1/2022 16:00,24,39.03667,105,511.8042,33.17,31.82,1.97
7/1/2022 17:00,12,32.27333,42,307.6617,32.06,34.55,1.72
8/1/2022 7:00,4,24.55,21,2.9062,24.32,57.72,1.21
8/1/2022 8:00,48,31.91333,200,119.8749,25.99,53.11,1.29
8/1/2022 9:00,104,40.37333,388,350.2008,27.65,48.5,1.55
8/1/2022 10:00,156,46.78333,555,542.3064,29.32,43.89,1.94
8/1/2022 11:00,188,50.65,666,705.2901,30.54,39.94,2.09
8/1/2022 12:00,196,53.28333,698,823.5735,31.76,35.98,2.25
8/1/2022 13:00,192,56.53,685,845.2623,32.98,32.03,2.41
8/1/2022 14:00,168,54.59333,591,803.0328,33.23,30.81,2.33
8/1/2022 15:00,128,50.23,455,700.3953,33.48,29.59,2.3
8/1/2022 16:00,68,44.03,273,517.1628,33.73,28.36,2.32
8/1/2022 17:00,12,37.32667,73,312.1275,32.6,31.67,1.89
9/1/2022 7:00,4,23.97667,21,2.9819,23.88,52.31,1.88
9/1/2022 8:00,36,29.60333,163,119.3113,25.67,48.2,1.47
9/1/2022 9:00,100,39.13667,367,355.0341,27.47,44.09,1.51
9/1/2022 10:00,152,46.45667,540,549.5706,29.26,39.97,1.98
9/1/2022 11:00,184,51.28333,646,713.5524,30.45,36.83,2.1
9/1/2022 12:00,196,55.15667,694,831.6528,31.64,33.68,2.24
9/1/2022 13:00,188,55.30333,668,854.2206,32.82,30.54,2.38
9/1/2022 14:00,168,53.12667,589,812.2371,33.04,29.4,2.2
9/1/2022 15:00,128,49.71333,456,709.2681,33.26,28.26,2.06
9/1/2022 16:00,72,44.10667,287,524.4039,33.48,27.13,1.96
9/1/2022 17:00,16,37.81667,95,317.7492,32.28,29.82,1.53
10/1/2022 7:00,5.6,23.02667,19,2.7105,23.86,50.4,1.13
10/1/2022 8:00,42,30,177,121.8994,25.72,45.9,0.93
10/1/2022 9:00,96,39.24333,359,358.0407,27.59,41.4,1.09
10/1/2022 10:00,156,47.37333,556,553.8132,29.45,36.9,1.5
10/1/2022 11:00,188,51.75667,667,718.773,30.67,34.11,1.6
10/1/2022 12:00,196,54.52,691,837.5205,31.89,31.32,1.85
10/1/2022 13:00,184,55.62,664,858.7233,33.11,28.54,2.21
10/1/2022 14:00,168,54.18,593,815.1048,33.32,28.09,1.86
10/1/2022 15:00,120,46.72667,424,710.5806,33.54,27.65,1.67
10/1/2022 16:00,64,42.57667,259,526.764,33.75,27.21,1.67
10/1/2022 17:00,16,36.39667,88,320.2482,32.25,31.56,2.03
11/1/2022 7:00,5.2,23.67333,19,2.5782,24.31,60.66,0.33
11/1/2022 8:00,46,31.18667,195,108.4788,26.03,56.38,0.53
11/1/2022 9:00,104,40.03,390,318.5202,27.75,52.1,1.08
11/1/2022 10:00,144,46.68667,515,504.6915,29.47,47.82,1.67
11/1/2022 11:00,180,51.75667,652,668.6127,30.83,41.93,1.97
11/1/2022 12:00,192,53.09,682,793.4913,32.18,36.04,2.35
11/1/2022 13:00,196,56.59,709,829.0449,33.54,30.14,2.78
11/1/2022 14:00,164,52.93667,581,801.9099,33.6,29.69,2.75
11/1/2022 15:00,132,49.17,464,712.5852,33.66,29.23,2.84
11/1/2022 16:00,68,44.46667,282,527.7618,33.73,28.78,3.02
11/1/2022 17:00,16,38.19,95,321.2973,32.29,33.48,2.74
12/1/2022 7:00,6.4,25.15,24,2.4429,25.02,75.75,1.5
12/1/2022 8:00,29.2,31.38333,120,118.3985,26.52,69.4,1.16
12/1/2022 9:00,64,38.46,253,346.8516,28.03,63.06,1.17
12/1/2022 10:00,72,39.34667,260,521.4291,29.53,56.72,1.51
12/1/2022 11:00,140,43.68,526,657.9489,30.4,50.97,2.07
12/1/2022 12:00,156,50.21333,583,746.1477,31.27,45.22,2.65
12/1/2022 13:00,124,48.48667,465,715.773,32.14,39.47,3.23
12/1/2022 14:00,80,46.60333,332,631.9533,32.16,38.95,2.24
12/1/2022 15:00,92,43.49667,346,509.0364,32.18,38.42,1.38
12/1/2022 16:00,32,38.97,142,410.1333,32.21,37.89,1.07
12/1/2022 17:00,16,35.93,97,272.6102,31.31,40.38,0.99
13/1/2022 7:00,5.6,24.78,22,2.3894,25.03,68.93,1.08
13/1/2022 8:00,40.4,30.22,176,116.7698,26.73,61.6,1.75
13/1/2022 9:00,92,38.23,348,348.051,28.42,54.26,2.54
13/1/2022 10:00,148,44.08333,528,542.0766,30.11,46.92,3.36
13/1/2022 11:00,184,50.95333,666,707.5401,31.11,41.48,3.31
13/1/2022 12:00,196,54.09,699,828.6627,32.12,36.03,3.27
13/1/2022 13:00,172,53.55667,620,852.8463,33.12,30.59,3.26
13/1/2022 14:00,164,53.17667,601,812.7828,33.09,30.75,2.81
13/1/2022 15:00,104,48.09333,374,711.7959,33.06,30.91,2.69
13/1/2022 16:00,68,42.91667,270,527.2782,33.03,31.07,2.93
13/1/2022 17:00,16,35.99667,84,321.3291,31.54,36.57,3.25
14/1/2022 7:00,5.6,24.39,22,2.4329,24.68,75.06,1.34
14/1/2022 8:00,42,30.01,179,114.0706,26.26,67.4,1.77
14/1/2022 9:00,72,37.39,286,345.7485,27.84,59.73,2.22
14/1/2022 10:00,136,45.95333,505,539.2014,29.41,52.06,2.66
14/1/2022 11:00,76,38.21333,302,703.7577,30.33,47.31,2.97
14/1/2022 12:00,184,50.62,666,823.9239,31.25,42.56,3.32
14/1/2022 13:00,128,46.70667,515,849.1071,32.17,37.8,3.69
14/1/2022 14:00,168,51.73,619,810.3759,32.2,36.95,3.26
14/1/2022 15:00,124,47.61666,449,710.9481,32.23,36.1,3.03
14/1/2022 16:00,68,43.39333,274,528.7668,32.26,35.25,3.05
14/1/2022 17:00,16,36.05333,97,324.4683,30.95,39.71,2.93
15/1/2022 7:00,4,23.64,21,2.2195,23.97,75,0.61
15/1/2022 8:00,44,29.65,185,116.7363,25.52,67.72,1.11
15/1/2022 9:00,96,38.78333,369,347.1981,27.07,60.45,1.65
15/1/2022 10:00,148,43.64,538,542.0472,28.62,53.18,2.19
15/1/2022 11:00,168,50.42667,590,708.423,29.76,47.22,2.48
15/1/2022 12:00,200,51.59667,708,830.5236,30.9,41.27,2.78
15/1/2022 13:00,192,54.78667,687,856.3401,32.04,35.32,3.07
15/1/2022 14:00,168,52.86333,603,817.7565,32.16,34.44,3.01
15/1/2022 15:00,128,49.16,460,717.9135,32.29,33.56,3.11
15/1/2022 16:00,68,43.77667,277,536.1501,32.41,32.68,3.36
15/1/2022 17:00,16,36.84333,102,330.6657,30.92,37.7,3.31
16/1/2022 7:00,4,23.58,21,2.2669,23.88,74.24,1.22
16/1/2022 8:00,40,29.89,180,116.7881,25.41,68.21,1.14
16/1/2022 9:00,108,39.60667,434,348.3009,26.94,62.18,1.11
16/1/2022 10:00,152,45.54333,568,542.7288,28.47,56.15,1.13
16/1/2022 11:00,184,53.52,695,708.3291,29.7,51.01,0.65
16/1/2022 12:00,160,49.13667,584,829.4703,30.94,45.87,0.82
16/1/2022 13:00,148,47.02333,514,854.7945,32.17,40.73,1.42
16/1/2022 14:00,168,50.47,612,815.9028,32.37,39.68,1.75
16/1/2022 15:00,144,46.86333,541,716.0214,32.57,38.63,2.32
16/1/2022 16:00,68,39.17333,284,534.5022,32.77,37.59,2.99
16/1/2022 17:00,20,35.46333,112,329.6328,31.35,42.15,3
17/1/2022 7:00,5.6,24.50667,21,2.251,24.19,66.95,0.88
17/1/2022 8:00,36.4,29.21333,160,112.8573,25.77,62.31,0.82
17/1/2022 9:00,88,38.03,340,345.8352,27.36,57.66,0.99
17/1/2022 10:00,132,43.39333,479,540.9411,28.94,53.01,1.3
17/1/2022 11:00,144,47.17667,530,707.5932,30.13,47.7,1.3
17/1/2022 12:00,172,50.67333,617,830.0616,31.31,42.38,1.5
17/1/2022 13:00,180,54.97667,666,856.6167,32.5,37.06,1.85
17/1/2022 14:00,60,44.11666,247,818.8755,32.74,35.56,1.45
17/1/2022 15:00,52,37.96,193,719.9655,32.98,34.05,1.16
17/1/2022 16:00,44,39.39333,171,537.7458,33.23,32.55,1.05
17/1/2022 17:00,16,34.89333,103,332.619,32.12,35.4,0.76
18/1/2022 7:00,6,23.56667,25,2.0744,24.78,58.65,0.44
18/1/2022 8:00,41.2,29.73333,177,115.905,26.39,53.34,1.1
18/1/2022 9:00,96,38.51667,372,346.8657,28,48.03,1.98
18/1/2022 10:00,144,45.67333,539,542.1648,29.61,42.72,2.89
18/1/2022 11:00,180,50.19667,641,709.0074,30.67,39.94,2.98
18/1/2022 12:00,192,51.71333,690,831.6444,31.74,37.16,3.07
18/1/2022 13:00,196,52.85667,700,857.8899,32.8,34.38,3.17
18/1/2022 14:00,120,52.76,416,819.8145,33.02,33.02,2.9
18/1/2022 15:00,132,50.47667,478,720.618,33.23,31.67,2.67
18/1/2022 16:00,76,44.64,308,534.8637,33.44,30.31,2.46
18/1/2022 17:00,20,38.15333,108,328.6377,32.47,32.82,1.85
19/1/2022 7:00,5.6,24.51333,21,2.0521,24.34,62.25,1.28
19/1/2022 8:00,43.6,29.40333,191,113.7595,25.72,57.93,1.63
19/1/2022 9:00,100,36.77,380,344.5971,27.1,53.62,1.99
19/1/2022 10:00,148,43.26,543,539.2692,28.48,49.31,2.36
19/1/2022 11:00,184,48.57,665,706.281,29.64,45.3,2.43
19/1/2022 12:00,132,49.15333,514,829.7175,30.8,41.29,2.55
19/1/2022 13:00,196,52.44333,697,855.7206,31.96,37.27,2.72
19/1/2022 14:00,176,53.74,649,817.6365,32.25,35.54,2.4
19/1/2022 15:00,136,48.60333,499,718.686,32.53,33.81,2.07
19/1/2022 16:00,64,41.35667,245,522.6513,32.82,32.08,1.75
19/1/2022 17:00,16,35.96333,95,313.7115,31.84,34.47,1.29
20/1/2022 7:00,5.6,24.6,23,2.1062,24.19,63.83,1.77
20/1/2022 8:00,41.6,29.95,182,111.4798,25.79,59.38,1.9
20/1/2022 9:00,96,38.19,377,344.0337,27.38,54.94,2.17
20/1/2022 10:00,144,45.42,534,538.2126,28.98,50.49,2.52
20/1/2022 11:00,176,47.20667,647,703.8438,30.12,46.41,2.37
20/1/2022 12:00,192,51.8,708,825.4584,31.26,42.33,2.57
20/1/2022 13:00,156,50.40667,577,851.466,32.4,38.25,3.05
20/1/2022 14:00,136,49.82333,523,813.7692,32.18,38.34,3.64
20/1/2022 15:00,140,48.84333,540,715.7013,31.95,38.43,4.36
20/1/2022 16:00,80,41.31333,317,535.3527,31.73,38.52,5.18
20/1/2022 17:00,16,33.58333,66,332.7549,30.42,44.54,4.92
21/1/2022 7:00,6.4,26.04667,25,0.6996,24.33,79.67,2.19
21/1/2022 8:00,33.2,28.31333,131,47.8436,25.02,76.86,2.36
21/1/2022 9:00,108,37.99667,424,155.5433,25.72,74.06,2.59
21/1/2022 10:00,68,37.44667,282,308.1084,26.41,71.26,2.87
21/1/2022 11:00,108,40.92,422,480.8181,27.51,65.61,3.4
21/1/2022 12:00,36,36.18667,164,648.1512,28.61,59.96,3.93
21/1/2022 13:00,216,48.70333,819,700.3833,29.71,54.32,4.46
21/1/2022 14:00,160,46.96,598,700.1958,29.7,53.75,4.63
21/1/2022 15:00,108,43.84667,423,643.3149,29.7,53.19,4.8
21/1/2022 16:00,52,34.42667,202,494.2677,29.69,52.63,4.96
21/1/2022 17:00,28,35.68667,129,316.5483,28.71,57.41,4.5
22/1/2022 7:00,0,24.88,1,1.9739,23.24,85.41,2.37
22/1/2022 8:00,40,28.14,151,112.9874,24.67,78.42,2.16
22/1/2022 9:00,20,30.24,90,340.8408,26.09,71.44,1.96
22/1/2022 10:00,152,28.46,500,534.8604,27.52,64.45,1.76
22/1/2022 11:00,32,32.7,123,702.036,28.61,59.11,2.01
22/1/2022 12:00,232,52.81,824,826.395,29.7,53.77,2.77
22/1/2022 13:00,200,47.1,714,822.4842,30.8,48.43,3.73
22/1/2022 14:00,152,47.31667,554,757.2558,30.53,49.03,4.13
22/1/2022 15:00,136,44.77333,462,640.4937,30.26,49.63,4.57
22/1/2022 16:00,48,37,177,491.6289,29.99,50.23,5.04
22/1/2022 17:00,28,33.64,160,314.6946,29.09,55.1,4.48
23/1/2022 7:00,8,23.25333,19,2.081,23.41,83.83,1.75
23/1/2022 8:00,44,28.79,166,114.4265,24.94,75.77,1.87
23/1/2022 9:00,24,28.07333,92,353.6802,26.47,67.72,1.98
23/1/2022 10:00,168,47.09333,610,554.8809,28,59.66,2.1
23/1/2022 11:00,228,48.00667,802,727.3128,29.4,51.35,1.91
23/1/2022 12:00,148,48.45667,557,854.8113,30.79,43.05,1.87
23/1/2022 13:00,208,54.24333,777,883.8363,32.19,34.75,1.98
23/1/2022 14:00,140,53.44,519,846.957,32.28,34.5,2.19
23/1/2022 15:00,164,47.08,559,747.3108,32.36,34.25,2.74
23/1/2022 16:00,68,43.25667,279,562.9014,32.45,34,3.47
23/1/2022 17:00,24,38.11333,140,353.7585,30.89,40.32,3.44
24/1/2022 7:00,5.2,24.44333,20,1.8825,23.57,76.51,1.42
24/1/2022 8:00,18,27.25667,75,116.9472,25.28,69.36,1.06
24/1/2022 9:00,48,34.30667,197,355.2798,26.99,62.2,0.83
24/1/2022 10:00,92,34.96,338,556.5543,28.7,55.05,0.84
24/1/2022 11:00,100,37.74667,281,728.8401,29.82,49.34,0.81
24/1/2022 12:00,212,57.44333,802,856.0386,30.93,43.64,0.77
24/1/2022 13:00,72,40.45333,253,885.0429,32.05,37.93,0.74
24/1/2022 14:00,52,38.50667,178,848.1345,32.05,36.9,1.37
24/1/2022 15:00,160,47.16,568,748.4559,32.05,35.88,2.03
24/1/2022 16:00,92,43.81667,350,564.7086,32.06,34.85,2.7
24/1/2022 17:00,28,37.38334,144,355.7361,30.83,37.86,2.76
25/1/2022 7:00,5.6,23.44,21,2.0359,23.9,73.95,0.85
25/1/2022 8:00,50,28.93333,197,118.761,25.55,67.62,0.57
25/1/2022 9:00,108,39.83,385,355.3137,27.2,61.3,0.41
25/1/2022 10:00,152,46.44,537,555.5439,28.85,54.98,0.49
25/1/2022 11:00,184,52.06333,646,726.5841,30.22,49.82,0.46
25/1/2022 12:00,92,45.94,376,852.5346,31.58,44.66,0.62
25/1/2022 13:00,84,46.81,311,881.0661,32.95,39.51,0.87
25/1/2022 14:00,96,42.18,374,844.0641,33.16,37.42,0.98
25/1/2022 15:00,152,46.92333,553,744.7209,33.36,35.33,1.36
25/1/2022 16:00,104,45.05,383,562.0617,33.57,33.25,1.85
25/1/2022 17:00,32,38.81333,151,354.3681,32.3,36.85,2.21
26/1/2022 7:00,5.6,24.75667,20,2.0435,25.15,69.63,0.89
26/1/2022 8:00,42,30.31667,170,116.7407,26.64,64.74,1.06
26/1/2022 9:00,104,36.05667,385,352.3986,28.14,59.85,1.24
26/1/2022 10:00,168,46.80333,592,550.7196,29.63,54.96,1.43
26/1/2022 11:00,84,43.22,313,720.3009,30.76,50.44,1.59
26/1/2022 12:00,72,41.49,249,845.3457,31.89,45.91,1.79
26/1/2022 13:00,212,45.29333,750,874.2918,33.03,41.39,2.02
26/1/2022 14:00,204,50.8,739,838.2918,33.17,40.2,2.24
26/1/2022 15:00,176,50.22333,647,740.3568,33.31,39.01,2.54
26/1/2022 16:00,88,41.25667,327,559.5699,33.45,37.82,2.9
26/1/2022 17:00,24,38.05333,122,353.5437,31.97,42.85,3.07
27/1/2022 7:00,6.4,26.74667,25,2.0935,25.36,82.63,1.41
27/1/2022 8:00,45.6,31.11,182,115.7157,26.92,74.33,1.1
27/1/2022 9:00,60,35.35,238,349.8399,28.47,66.03,0.86
27/1/2022 10:00,52,34.56333,205,547.5918,30.03,57.73,0.76
